ppg,name,op_fg_pct,region,fg_pct,tov,op_tov,opg,seed,gs
67.5,virginia,0.375,South,0.461,283,420,53.4,1,33
87.1,villanova,0.434,East,0.504,352,445,70.9,1,34
84.7,duke,0.401,Midwest,0.493,416,396,69.6,2,33
81.1,purdue,0.410,East,0.497,363,412,65.6,2,34
81.0,michigan-state,0.366,Midwest,0.504,435,329,64.8,3,33
74.5,cincinnati,0.370,South,0.453,389,503,57.1,2,34
82.0,north-carolina,0.422,West,0.460,422,406,73.1,2,35
81.5,kansas,0.422,Midwest,0.498,397,442,70.9,1,34
75.2,texas-tech,0.403,East,0.464,412,499,64.7,3,33
74.5,michigan,0.430,West,0.471,320,450,63.5,3,35
84.5,gonzaga,0.405,West,0.503,384,417,67.1,4,34
74.2,tennessee,0.410,South,0.439,403,461,66.4,3,33
79.6,west-virginia,0.425,East,0.434,385,561,69.0,5,34
75.8,ohio-state,0.415,West,0.485,378,393,66.7,5,32
84.3,xavier,0.431,West,0.491,410,375,74.5,1,33
83.4,auburn,0.425,Midwest,0.439,393,488,73.3,4,32
73.3,clemson,0.410,Midwest,0.453,387,383,65.8,5,32
83.0,wichita-state,0.419,East,0.478,370,370,71.3,4,32
76.1,florida,0.429,East,0.434,315,442,69.4,6,32
77.4,houston,0.397,West,0.466,401,438,64.9,6,33
80.9,arizona,0.431,South,0.505,417,396,71.2,4,34
75.0,texas-am,0.403,West,0.457,434,360,69.8,7,32
76.7,kentucky,0.406,South,0.470,442,407,70.3,5,34
79.1,butler,0.450,East,0.472,369,467,72.8,10,33
83.0,texas-christian,0.459,Midwest,0.499,406,403,75.9,6,32
84.3,creighton,0.433,South,0.497,358,376,74.2,8,32
73.3,missouri,0.407,West,0.453,453,354,68.1,8,32
79.0,seton-hall,0.437,Midwest,0.469,410,410,73.3,8,32
81.8,florida-state,0.421,West,0.474,403,437,74.5,9,31
79.7,virginia-tech,0.425,East,0.498,381,416,71.8,8,32
71.7,texas,0.422,South,0.438,390,418,68.2,10,33
85.2,oklahoma,0.445,Midwest,0.464,414,409,81.6,10,31
74.2,miami-fl,0.430,South,0.464,351,402,68.0,6,31
77.5,san-diego-state,0.418,West,0.461,382,436,67.9,11,32
81.1,arkansas,0.428,East,0.477,374,476,75.5,7,34
72.4,alabama,0.413,East,0.458,481,449,70.0,9,34
67.5,syracuse,0.396,Midwest,0.418,414,424,64.5,11,33
72.4,kansas-state,0.429,South,0.472,379,473,67.9,9,33
83.1,nevada,0.430,South,0.468,338,442,72.9,7,34
81.2,north-carolina-state,0.465,Midwest,0.470,390,480,74.5,9,32
76.2,rhode-island,0.451,Midwest,0.459,343,508,67.9,7,32
81.9,ucla,0.424,East,0.461,379,345,76.3,11,32
73.7,providence,0.443,West,0.442,424,455,72.7,10,34
83.5,arizona-state,0.439,Midwest,0.464,333,463,75.3,11,31
75.9,new-mexico-state,0.392,Midwest,0.460,418,455,63.8,12,33
76.4,davidson,0.437,South,0.483,306,342,67.6,12,32
72.4,loyola-il,0.412,South,0.507,404,434,62.2,11,33
84.9,south-dakota-state,0.429,West,0.470,340,362,74.1,12,34
78.9,murray-state,0.410,East,0.485,368,394,65.5,12,31
73.5,north-carolina-greensboro,0.405,West,0.447,468,518,62.4,13,34
78.1,montana,0.429,West,0.471,410,508,68.7,14,33
77.9,st-bonaventure,0.421,East,0.456,367,459,71.0,11,32
75.3,georgia-state,0.393,South,0.463,386,493,67.3,15,34
75.1,college-of-charleston,0.435,Midwest,0.460,318,391,68.8,13,33
81.1,stephen-f-austin,0.428,East,0.488,527,678,68.1,14,34
81.1,bucknell,0.423,Midwest,0.472,429,428,72.9,14,34
67.4,radford,0.428,East,0.426,413,441,64.4,16,34
84.8,buffalo,0.425,South,0.474,426,474,75.9,13,34
84.3,marshall,0.441,East,0.469,449,485,78.8,13,34
72.1,wright-state,0.414,South,0.436,446,519,65.7,14,34
76.4,pennsylvania,0.413,Midwest,0.460,379,398,68.7,16,32
79.8,iona,0.458,Midwest,0.462,385,452,76.2,15,33
82.6,lipscomb,0.446,West,0.456,480,493,77.5,15,32
73.2,cal-state-fullerton,0.413,East,0.470,438,404,70.0,15,31
77.6,texas-southern,0.454,West,0.441,428,398,79.7,16,34
73.9,maryland-baltimore-county,0.440,South,0.445,411,504,69.5,16,34
72.8,north-carolina-central,0.418,West,0.466,480,409,69.4,16,34
77.5,long-island-university,0.440,East,0.457,481,408,76.6,16,34
